date,open,high,low,close,volume
2024-01-04,1002.00,1012.00,990.00,1000.00,180000
2024-01-05,1014.26,1024.26,1002.36,1012.36,182000
2024-01-08,1025.13,1035.13,1013.51,1023.51,184000
2024-01-09,1033.54,1043.54,1022.36,1032.36,186000
2024-01-10,1038.66,1048.66,1028.04,1038.04,188000
2024-01-11,1040.00,1050.00,1030.00,1040.00,190000
2024-01-12,1037.42,1048.04,1027.42,1038.04,192000
2024-01-15,1031.19,1042.36,1021.19,1032.36,194000
2024-01-16,1021.89,1033.51,1011.89,1023.51,196000
2024-01-17,1010.46,1022.36,1000.46,1012.36,198000
2024-01-18,998.00,1010.00,988.00,1000.00,200000
2024-01-19,985.74,997.64,975.74,987.64,202000
2024-01-22,974.87,986.49,964.87,976.49,204000
2024-01-23,966.46,977.64,956.46,967.64,206000
2024-01-24,961.34,971.96,951.34,961.96,208000
2024-01-25,960.00,970.00,950.00,960.00,210000
2024-01-26,962.58,972.58,951.96,961.96,212000
2024-01-29,968.81,978.81,957.64,967.64,214000
2024-01-30,978.11,988.11,966.49,976.49,216000
2024-01-31,989.54,999.54,977.64,987.64,218000
2024-02-01,1002.00,1012.00,990.00,1000.00,180000
2024-02-02,1014.26,1024.26,1002.36,1012.36,182000
2024-02-05,1025.13,1035.13,1013.51,1023.51,184000
2024-02-06,1033.54,1043.54,1022.36,1032.36,186000
2024-02-07,1038.66,1048.66,1028.04,1038.04,188000
2024-02-08,1040.00,1050.00,1030.00,1040.00,190000
2024-02-09,1037.42,1048.04,1027.42,1038.04,192000
2024-02-12,1031.19,1042.36,1021.19,1032.36,194000
2024-02-13,1021.89,1033.51,1011.89,1023.51,196000
2024-02-14,1010.46,1022.36,1000.46,1012.36,198000
2024-02-15,998.00,1010.00,988.00,1000.00,200000
2024-02-16,985.74,997.64,975.74,987.64,202000
2024-02-19,974.87,986.49,964.87,976.49,204000
2024-02-20,966.46,977.64,956.46,967.64,206000
2024-02-21,961.34,971.96,951.34,961.96,208000
2024-02-22,960.00,970.00,950.00,960.00,210000
2024-02-23,962.58,972.58,951.96,961.96,212000
2024-02-26,968.81,978.81,957.64,967.64,214000
2024-02-27,978.11,988.11,966.49,976.49,216000
2024-02-28,989.54,999.54,977.64,987.64,218000
2024-02-29,1002.00,1012.00,990.00,1000.00,180000
2024-03-01,1014.26,1024.26,1002.36,1012.36,182000
2024-03-04,1025.13,1035.13,1013.51,1023.51,184000
2024-03-05,1033.54,1043.54,1022.36,1032.36,186000
2024-03-06,1038.66,1048.66,1028.04,1038.04,188000
2024-03-07,1040.00,1050.00,1030.00,1040.00,190000
2024-03-08,1037.42,1048.04,1027.42,1038.04,192000
2024-03-11,1031.19,1042.36,1021.19,1032.36,194000
2024-03-12,1021.89,1033.51,1011.89,1023.51,196000
2024-03-13,1010.46,1022.36,1000.46,1012.36,198000
2024-03-14,998.00,1010.00,988.00,1000.00,200000
2024-03-15,985.74,997.64,975.74,987.64,202000
2024-03-18,974.87,986.49,964.87,976.49,204000
2024-03-19,966.46,977.64,956.46,967.64,206000
2024-03-20,961.34,971.96,951.34,961.96,208000
2024-03-21,960.00,970.00,950.00,960.00,210000
2024-03-22,962.58,972.58,951.96,961.96,212000
2024-03-25,968.81,978.81,957.64,967.64,214000
2024-03-26,978.11,988.11,966.49,976.49,216000
2024-03-27,989.54,999.54,977.64,987.64,218000
2024-03-28,1002.00,1012.00,990.00,1000.00,180000
2024-03-29,1014.26,1024.26,1002.36,1012.36,182000
2024-04-01,1025.13,1035.13,1013.51,1023.51,184000
2024-04-02,1033.54,1043.54,1022.36,1032.36,186000
2024-04-03,1038.66,1048.66,1028.04,1038.04,188000
2024-04-04,1040.00,1050.00,1030.00,1040.00,190000
2024-04-05,1037.42,1048.04,1027.42,1038.04,192000
2024-04-08,1031.19,1042.36,1021.19,1032.36,194000
2024-04-09,1021.89,1033.51,1011.89,1023.51,196000
2024-04-10,1010.46,1022.36,1000.46,1012.36,198000
2024-04-11,998.00,1010.00,988.00,1000.00,200000
2024-04-12,985.74,997.64,975.74,987.64,202000
2024-04-15,974.87,986.49,964.87,976.49,204000
2024-04-16,966.46,977.64,956.46,967.64,206000
2024-04-17,961.34,971.96,951.34,961.96,208000
2024-04-18,960.00,970.00,950.00,960.00,210000
2024-04-19,962.58,972.58,951.96,961.96,212000
2024-04-22,968.81,978.81,957.64,967.64,214000
2024-04-23,978.11,988.11,966.49,976.49,216000
2024-04-24,989.54,999.54,977.64,987.64,218000
2024-04-25,1002.00,1012.00,990.00,1000.00,180000
2024-04-26,1014.26,1024.26,1002.36,1012.36,182000
2024-04-29,1025.13,1035.13,1013.51,1023.51,184000
2024-04-30,1033.54,1043.54,1022.36,1032.36,186000
2024-05-01,1038.66,1048.66,1028.04,1038.04,188000
